table_name,column_name,data_type,nullable,default_value,purpose,allowed_values,source_of_truth,written_by,read_by,publicly_exposed,retention_rule,index_or_constraint,migration_origin
elepem_core.facility_reviews,review_note,text,no,,Required factual decision explanation.,CHECK/FK/length rules in migration,human decision,authorized reviewer,publication guard/auditor,no,append-only permanent,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.facility_reviews,created_at,timestamptz,no,now(),Row creation timestamp.,timezone-aware timestamp,human decision,authorized reviewer,publication guard/auditor,no,append-only permanent,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.audit_log,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,server workflow,authorized server workflow,auditor only,no,append-only permanent,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.audit_log,entity_type,text,no,,Audited entity category.,CHECK/FK/length rules in migration,server workflow,authorized server workflow,auditor only,no,append-only permanent,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.audit_log,entity_key,text,no,,Audited stable identifier.,CHECK/FK/length rules in migration,server workflow,authorized server workflow,auditor only,no,append-only permanent,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.audit_log,action,text,no,,Audited workflow action.,CHECK/FK/length rules in migration,server workflow,authorized server workflow,auditor only,no,append-only permanent,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.audit_log,actor_identifier,text,no,,Authenticated actor or controlled job.,CHECK/FK/length rules in migration,server workflow,authorized server workflow,auditor only,no,append-only permanent,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.audit_log,before_state,jsonb,yes,,Bounded pre-change state.,JSON object within CHECK/size limits,server workflow,authorized server workflow,auditor only,no,append-only permanent,JSON type/size CHECK,20260803042525_normalized_elepem_core_model
elepem_core.audit_log,after_state,jsonb,yes,,Bounded post-change state.,JSON object within CHECK/size limits,server workflow,authorized server workflow,auditor only,no,append-only permanent,JSON type/size CHECK,20260803042525_normalized_elepem_core_model
elepem_core.audit_log,request_id,text,yes,,Server request/import correlation ID.,valid identity or referenced ID,server workflow,authorized server workflow,auditor only,no,append-only permanent,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.audit_log,created_at,timestamptz,no,now(),Row creation timestamp.,timezone-aware timestamp,server workflow,authorized server workflow,auditor only,no,append-only permanent,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.legacy_facility_map,legacy_residencial_id,text,no,,Stable public.residenciales ID.,valid identity or referenced ID,legacy reconciliation,backfill or reviewer,cutover/reconciliation,no,permanent through cutover,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.legacy_facility_map,facility_id,bigint,yes,,Canonical physical-site reference.,valid identity or referenced ID,legacy reconciliation,backfill or reviewer,cutover/reconciliation,no,permanent through cutover,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
elepem_core.legacy_facility_map,mapping_status,text,no,'pending',Old-to-new reconciliation state.,mapped|pending|conflict|excluded,legacy reconciliation,backfill or reviewer,cutover/reconciliation,no,permanent through cutover,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.legacy_facility_map,match_method,text,yes,,Approved mapping method.,exact_id|exact_address|human_review,legacy reconciliation,backfill or reviewer,cutover/reconciliation,no,permanent through cutover,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.legacy_facility_map,conflict_note,text,yes,,Unresolved conflict explanation.,CHECK/FK/length rules in migration,legacy reconciliation,backfill or reviewer,cutover/reconciliation,no,permanent through cutover,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.legacy_facility_map,mapped_by,text,yes,,Mapping reviewer/job.,CHECK/FK/length rules in migration,legacy reconciliation,backfill or reviewer,cutover/reconciliation,no,permanent through cutover,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.legacy_facility_map,mapped_at,timestamptz,yes,,Mapping approval timestamp.,timezone-aware timestamp,legacy reconciliation,backfill or reviewer,cutover/reconciliation,no,permanent through cutover,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.legacy_facility_map,created_at,timestamptz,no,now(),Row creation timestamp.,timezone-aware timestamp,legacy reconciliation,backfill or reviewer,cutover/reconciliation,no,permanent through cutover,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
discovery_private.facility_source_runs,source_catalog_id,bigint,yes,,Normalized source-catalog link.,valid identity or referenced ID,normalized transition link,authorized import/reviewer,private discovery workflow,no,with parent audit record,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
discovery_private.facility_source_observations,source_catalog_id,bigint,yes,,Normalized source-catalog link.,valid identity or referenced ID,normalized transition link,authorized import/reviewer,private discovery workflow,no,with parent audit record,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
discovery_private.facility_candidates,resolved_facility_id,bigint,yes,,Human-selected canonical result for a candidate.,valid identity or referenced ID,normalized transition link,authorized import/reviewer,private discovery workflow,no,with parent audit record,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
discovery_private.facility_candidate_match_suggestions,facility_id,bigint,yes,,Canonical physical-site reference.,valid identity or referenced ID,normalized transition link,authorized import/reviewer,private discovery workflow,no,with parent audit record,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
discovery_private.facility_candidate_review_events,matched_facility_id,bigint,yes,,Canonical facility in a review event.,valid identity or referenced ID,normalized transition link,authorized import/reviewer,private discovery workflow,no,with parent audit record,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
discovery_private.facility_external_ids,facility_id,bigint,yes,,Canonical physical-site reference.,valid identity or referenced ID,normalized transition link,authorized import/reviewer,private discovery workflow,no,with parent audit record,FK plus join index where applicable,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,facility_id,bigint,derived,derived,Canonical physical-site reference.,valid identity or referenced ID,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,facility_key,text,derived,derived,Stable public-safe ID for one physical site.,CHECK/FK/length rules in migration,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,lifecycle_status,text,derived,derived,Separates current and historical lifecycle states.,CHECK/FK/length rules in migration,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,review_status,text,derived,derived,Human verification state.,CHECK/FK/length rules in migration,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,publication_status,text,derived,derived,Explicit eligibility and publication gate.,CHECK/FK/length rules in migration,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,name,text,derived,derived,Observed or selected facility name.,CHECK/FK/length rules in migration,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,normalized_name,text,derived,derived,Comparison value that never replaces observed text.,CHECK/FK/length rules in migration,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,department,text,derived,derived,Source-backed Uruguayan department.,CHECK/FK/length rules in migration,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,locality,text,derived,derived,Source-backed locality.,CHECK/FK/length rules in migration,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,address,text,derived,derived,Stored or projected address value.,CHECK/FK/length rules in migration,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,lat,double precision,derived,derived,Selected latitude.,-90..90,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,lng,double precision,derived,derived,Selected longitude.,-180..180,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,precision,text,derived,derived,"Door, street, or referential accuracy.",CHECK/FK/length rules in migration,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,places,integer,derived,derived,Capacity from one dated observation.,integer >= 0,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,created_at,timestamptz,derived,derived,Row creation timestamp.,timezone-aware timestamp,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_current_internal,updated_at,timestamptz,derived,derived,Last controlled update timestamp.,timezone-aware timestamp,normalized operational tables,view only,internal server workflows,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,id,text,derived,derived,Surrogate row identifier.,valid identity or referenced ID,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,name,text,derived,derived,Observed or selected facility name.,CHECK/FK/length rules in migration,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,department,text,derived,derived,Source-backed Uruguayan department.,CHECK/FK/length rules in migration,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,locality,text,derived,derived,Source-backed locality.,CHECK/FK/length rules in migration,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,address,text,derived,derived,Stored or projected address value.,CHECK/FK/length rules in migration,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,places,integer,derived,derived,Capacity from one dated observation.,integer >= 0,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,lat,double precision,derived,derived,Selected latitude.,-90..90,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,lng,double precision,derived,derived,Selected longitude.,-180..180,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,precision,text,derived,derived,"Door, street, or referential accuracy.",puerta|calle|referencial,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,precision_label,text,derived,derived,Human-readable accuracy note.,CHECK/FK/length rules in migration,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,status_group,text,derived,derived,Legacy public-map group.,habilitado|registro|verificar,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,status_stage,text,derived,derived,Legacy stage label.,CHECK/FK/length rules in migration,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,status_short,text,derived,derived,Legacy short status.,CHECK/FK/length rules in migration,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,source_label,text,derived,derived,Safe provenance summary.,CHECK/FK/length rules in migration,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,created_at,timestamptz,derived,derived,Row creation timestamp.,timezone-aware timestamp,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,updated_at,timestamptz,derived,derived,Last controlled update timestamp.,timezone-aware timestamp,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,msp_final,boolean,derived,derived,Derived MSP final-authorization flag.,true|false,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,msp_registro_historico,boolean,derived,derived,Derived MSP historical-registration flag.,true|false,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,mides_social,boolean,derived,derived,Derived MIDES certificate flag.,true|false,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,pacp,boolean,derived,derived,Derived PACP registry flag.,true|false,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.facilities_public_approved,other_source,boolean,derived,derived,Derived other-source flag.,true|false,approved normalized records,view only,public map server endpoint,yes_via_server_endpoint_only,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,id,text,derived,derived,Surrogate row identifier.,valid identity or referenced ID,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,name,text,derived,derived,Observed or selected facility name.,CHECK/FK/length rules in migration,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,department,text,derived,derived,Source-backed Uruguayan department.,CHECK/FK/length rules in migration,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,locality,text,derived,derived,Source-backed locality.,CHECK/FK/length rules in migration,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,address,text,derived,derived,Stored or projected address value.,CHECK/FK/length rules in migration,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,places,integer,derived,derived,Capacity from one dated observation.,integer >= 0,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,lat,double precision,derived,derived,Selected latitude.,-90..90,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,lng,double precision,derived,derived,Selected longitude.,-180..180,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,precision,text,derived,derived,"Door, street, or referential accuracy.",CHECK/FK/length rules in migration,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,precision_label,text,derived,derived,Human-readable accuracy note.,CHECK/FK/length rules in migration,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,status_group,text,derived,derived,Legacy public-map group.,CHECK/FK/length rules in migration,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,status_stage,text,derived,derived,Legacy stage label.,CHECK/FK/length rules in migration,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,status_short,text,derived,derived,Legacy short status.,CHECK/FK/length rules in migration,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,source_label,text,derived,derived,Safe provenance summary.,CHECK/FK/length rules in migration,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,created_at,timestamptz,derived,derived,Row creation timestamp.,timezone-aware timestamp,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,updated_at,timestamptz,derived,derived,Last controlled update timestamp.,timezone-aware timestamp,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,msp_final,boolean,derived,derived,Derived MSP final-authorization flag.,true|false,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,msp_registro_historico,boolean,derived,derived,Derived MSP historical-registration flag.,true|false,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,mides_social,boolean,derived,derived,Derived MIDES certificate flag.,true|false,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,pacp,boolean,derived,derived,Derived PACP registry flag.,true|false,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.residenciales_legacy_compat,other_source,boolean,derived,derived,Derived other-source flag.,true|false,unchanged legacy table,view only,legacy adapter,no,derived until deprecation,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.known_facilities_exclusion_view,subject_type,text,derived,derived,Exclusion entry category.,normalized_facility|legacy_residencial|private_candidate,normalized legacy and candidates,view only,private matcher,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.known_facilities_exclusion_view,subject_id,text,derived,derived,Stable exclusion subject ID.,valid identity or referenced ID,normalized legacy and candidates,view only,private matcher,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.known_facilities_exclusion_view,name,text,derived,derived,Observed or selected facility name.,CHECK/FK/length rules in migration,normalized legacy and candidates,view only,private matcher,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.known_facilities_exclusion_view,normalized_name,text,derived,derived,Comparison value that never replaces observed text.,CHECK/FK/length rules in migration,normalized legacy and candidates,view only,private matcher,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.known_facilities_exclusion_view,department,text,derived,derived,Source-backed Uruguayan department.,CHECK/FK/length rules in migration,normalized legacy and candidates,view only,private matcher,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.known_facilities_exclusion_view,locality,text,derived,derived,Source-backed locality.,CHECK/FK/length rules in migration,normalized legacy and candidates,view only,private matcher,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.known_facilities_exclusion_view,address,text,derived,derived,Stored or projected address value.,CHECK/FK/length rules in migration,normalized legacy and candidates,view only,private matcher,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.known_facilities_exclusion_view,lifecycle_status,text,derived,derived,Separates current and historical lifecycle states.,CHECK/FK/length rules in migration,normalized legacy and candidates,view only,private matcher,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.known_facilities_exclusion_view,review_status,text,derived,derived,Human verification state.,CHECK/FK/length rules in migration,normalized legacy and candidates,view only,private matcher,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.known_facilities_exclusion_view,evidence_tier,text,derived,derived,Evidence level at review time.,A|B|C or null,normalized legacy and candidates,view only,private matcher,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.known_facilities_exclusion_view,source_url,text,derived,derived,Latest retained provenance URL.,http(s) URL within CHECK length,normalized legacy and candidates,view only,private matcher,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
public.known_facilities_exclusion_view,last_seen_at,timestamptz,derived,derived,Latest known-seen timestamp.,timezone-aware timestamp,normalized legacy and candidates,view only,private matcher,no,derived,view-derived; anon/authenticated grants revoked,20260803042525_normalized_elepem_core_model
arandu_demo.facilities,id,text,no,,Reserved demo identifier.,DEMO-ELEPEM-001..003,demo seed migration,demo migration,server demo map,no,delete with demo reset,primary key; reserved ID CHECK,20260810223000_add_demo_map_facilities
arandu_demo.facilities,name,text,no,,Fictitious display name.,non-empty text,demo seed migration,demo migration,server demo map,no,delete with demo reset,not null,20260810223000_add_demo_map_facilities
arandu_demo.facilities,department,text,no,,Fictitious map department.,Montevideo|Paysandú|Canelones,demo seed migration,demo migration,server demo map,no,delete with demo reset,value CHECK,20260810223000_add_demo_map_facilities
arandu_demo.facilities,locality,text,no,,Fictitious locality label.,non-empty text,demo seed migration,demo migration,server demo map,no,delete with demo reset,not null,20260810223000_add_demo_map_facilities
arandu_demo.facilities,address,text,no,,Fictitious address label.,must remain explicitly fictitious,demo seed migration,demo migration,server demo map,no,delete with demo reset,not null,20260810223000_add_demo_map_facilities
arandu_demo.facilities,description,text,no,,Fictitious short description.,non-empty text,demo seed migration,demo migration,server demo map,no,delete with demo reset,not null,20260810223000_add_demo_map_facilities
arandu_demo.facilities,phone,text,no,,Fictitious business phone.,demo-only value,demo seed migration,demo migration,server demo map,no,delete with demo reset,not null,20260810223000_add_demo_map_facilities
arandu_demo.facilities,email,text,no,,Fictitious contact email.,demo.invalid domain,demo seed migration,demo migration,server demo map,no,delete with demo reset,domain CHECK,20260810223000_add_demo_map_facilities
arandu_demo.facilities,lat,double precision,no,,Approximate fictitious map latitude.,Uruguay bounds,demo seed migration,demo migration,server demo map,no,delete with demo reset,coordinate CHECK,20260810223000_add_demo_map_facilities
arandu_demo.facilities,lng,double precision,no,,Approximate fictitious map longitude.,Uruguay bounds,demo seed migration,demo migration,server demo map,no,delete with demo reset,coordinate CHECK,20260810223000_add_demo_map_facilities
arandu_demo.facilities,monthly_price_from_uyu,integer,no,,Fictitious monthly from price.,10000..500000,demo seed migration,demo migration,server demo map,no,delete with demo reset,price CHECK,20260810223000_add_demo_map_facilities
arandu_demo.facilities,price_as_of,date,no,,Visible date for fictitious price.,valid date,demo seed migration,demo migration,server demo map,no,delete with demo reset,not null,20260810223000_add_demo_map_facilities
arandu_demo.facilities,price_includes,text[],no,{},Fictitious included services.,text array,demo seed migration,demo migration,server demo map,no,delete with demo reset,not null,20260810223000_add_demo_map_facilities
arandu_demo.facilities,image_url,text,no,,Local synthetic image path.,/demo/ path,demo seed migration,demo migration,server demo map,no,delete with demo reset,path CHECK,20260810223000_add_demo_map_facilities
arandu_demo.facilities,image_alt,text,no,,Accessible synthetic image description.,non-empty text,demo seed migration,demo migration,server demo map,no,delete with demo reset,not null,20260810223000_add_demo_map_facilities
arandu_demo.facilities,is_test,boolean,no,true,Prevents canonical treatment.,true only,demo seed migration,demo migration,server demo map,no,delete with demo reset,true CHECK,20260810223000_add_demo_map_facilities
arandu_demo.facilities,active,boolean,no,true,Controls visibility in demo mode.,true|false,demo seed migration,demo migration,server demo map,no,delete with demo reset,not null,20260810223000_add_demo_map_facilities
arandu_demo.facilities,created_at,timestamptz,no,now(),Creation timestamp.,timezone-aware timestamp,database,database,server audit,no,delete with demo reset,not null,20260810223000_add_demo_map_facilities
arandu_demo.facilities,updated_at,timestamptz,no,now(),Last demo update timestamp.,timezone-aware timestamp,database,demo migration,server audit,no,delete with demo reset,not null,20260810223000_add_demo_map_facilities
